Hydraulic Retention Time (Days),Temperature (°C),pH,Biogas Yield (m³/Kg),CH4 (%)
3,30,6.76,0.05,4.86
16,34,7.01,0.34,40.87
30,28,6.92,0.44,59.5
10,30,6.88,0.2,8.44
12,31,6.97,0.24,19.61
11,31,6.96,0.23,13.08
15,33,7.01,0.32,36.83
26,36,7.11,0.45,60.61
18,32,7.0,0.38,45.82
29,31,7.0,0.47,62.26
12,32,6.95,0.24,19.08
15,33,7.0,0.32,36.73
2,28,6.74,0.04,6.13
28,32,7.09,0.46,62.04
17,34,6.95,0.34,42.46
17,34,6.95,0.37,42.31
16,32,6.97,0.34,39.67
21,33,7.04,0.4,50.33
9,29,6.89,0.18,5.15
27,33,7.1,0.47,63.02
2,28,6.72,0.02,5.45
18,32,7.01,0.36,44.41
6,31,6.8,0.11,4.17
28,32,7.03,0.42,63.3
27,35,7.1,0.46,62.57
26,36,7.08,0.44,59.89
19,32,7.01,0.38,46.68
5,30,6.82,0.06,5.13
22,34,7.06,0.42,52.81
17,32,6.99,0.35,42.94
28,33,7.04,0.44,62.77
5,30,6.8,0.06,4.89
1,28,6.73,0.0,0.0
3,29,6.77,0.05,6.46
27,33,7.12,0.45,61.95
30,29,6.87,0.45,60.26
14,34,7.02,0.29,31.43
10,29,6.91,0.19,9.01
20,32,7.02,0.39,48.66
11,30,6.91,0.24,13.36
28,34,7.03,0.46,63.01
11,29,6.94,0.22,13.03
1,27,6.76,0.0,0.0
0,25,6.68,0.0,0.0
22,34,7.04,0.42,51.98
6,30,6.85,0.08,3.82
12,32,6.94,0.25,18.81
8,29,6.86,0.16,4.71
30,28,6.86,0.47,59.88
8,29,6.89,0.14,3.78
23,35,7.05,0.42,55.14
16,34,7.01,0.34,40.91
13,32,6.97,0.29,25.26
3,31,6.78,0.05,6.21
26,34,7.13,0.45,60.54
28,34,7.05,0.44,63.1
27,34,7.07,0.45,62.02
0,25,6.72,0.01,0.0
11,30,6.95,0.24,13.63
19,34,6.97,0.39,45.74
21,34,7.01,0.43,49.89
29,32,7.02,0.45,62.2
22,35,7.05,0.42,52.96
20,34,6.99,0.39,48.04
1,27,6.76,0.0,0.0
29,31,7.0,0.44,61.57
22,34,7.04,0.42,51.74
9,31,6.9,0.16,4.64
16,32,7.04,0.33,40.13
11,31,6.92,0.22,12.8
19,34,7.01,0.38,46.45
23,35,7.07,0.43,55.47
10,31,6.89,0.22,8.29
22,33,7.06,0.43,51.87
24,35,7.05,0.43,57.22
20,33,6.98,0.39,47.66
6,29,6.82,0.09,4.3
29,32,6.99,0.46,62.18
15,34,7.02,0.33,36.3
0,25,6.71,0.01,0.24
1,29,6.71,0.02,3.58
14,34,6.99,0.3,31.38
4,31,6.76,0.06,6.22
1,29,6.7,0.02,3.09
17,33,6.99,0.36,43.03
19,34,6.96,0.39,46.53
6,31,6.78,0.11,4.56
20,32,7.02,0.41,48.28
9,30,6.87,0.18,5.19
16,33,7.0,0.35,39.64
26,34,7.1,0.44,60.7
13,31,6.97,0.28,25.02
20,33,7.0,0.39,49.16
7,30,6.81,0.15,4.04
20,34,7.04,0.4,48.77
24,36,7.05,0.44,57.7
5,29,6.81,0.08,4.72
28,34,7.08,0.44,62.17
13,31,6.97,0.3,24.38
14,32,6.96,0.31,32.58
15,33,6.99,0.33,37.25
28,34,7.04,0.45,62.17
3,30,6.76,0.04,5.48
0,25,6.69,0.02,0.0
15,34,7.02,0.32,36.12
14,33,7.01,0.3,30.96
8,31,6.85,0.16,3.95
14,33,7.01,0.29,30.47
1,28,6.74,0.0,0.0
15,34,7.0,0.32,36.55
1,27,6.74,0.0,0.0
15,32,6.98,0.31,36.32
24,36,7.06,0.43,56.8
16,33,7.01,0.34,40.27
11,31,6.91,0.22,12.9
6,30,6.83,0.1,4.64
8,29,6.89,0.14,4.5
10,30,6.89,0.19,7.98
1,29,6.71,0.01,3.53
18,33,7.0,0.36,44.14
9,31,6.87,0.17,4.92
6,31,6.81,0.12,4.49
10,30,6.9,0.19,9.03
21,33,7.04,0.42,50.41
28,32,7.03,0.46,62.17
4,30,6.76,0.05,5.92
25,36,7.09,0.45,58.35
6,31,6.81,0.11,4.38
30,29,6.91,0.45,59.95
8,29,6.86,0.14,4.52
20,32,6.96,0.41,47.76
0,26,6.71,0.0,0.0
2,29,6.74,0.02,5.76
6,30,6.82,0.11,4.42
15,33,6.96,0.32,36.39
2,30,6.75,0.02,4.23
23,34,7.03,0.44,54.39
1,29,6.72,0.01,3.11
29,32,6.98,0.46,61.59
16,34,7.01,0.33,40.24
0,26,6.72,0.0,0.0
9,31,6.9,0.18,5.44
10,31,6.9,0.21,8.78
28,34,7.02,0.45,62.63
1,27,6.71,0.02,3.88
4,31,6.8,0.06,5.31
23,33,7.08,0.43,55.0
29,31,6.98,0.46,62.64
12,30,6.97,0.24,18.97
15,34,6.99,0.31,37.11
20,33,7.03,0.41,48.59
30,29,6.87,0.46,60.37
30,28,6.89,0.44,59.99
26,35,7.09,0.46,61.06
7,29,6.83,0.12,3.46
18,32,7.0,0.38,45.83
13,33,6.96,0.27,24.8
15,32,7.01,0.3,36.63
11,29,6.94,0.22,13.08
22,33,7.06,0.44,52.6
19,34,7.01,0.39,47.11
10,29,6.88,0.19,8.1
30,28,6.86,0.45,60.97
20,32,7.0,0.39,48.34
11,31,6.94,0.23,13.79
12,31,6.95,0.25,19.02
4,29,6.79,0.06,4.73
28,34,7.05,0.45,62.24
29,33,6.98,0.47,62.31
24,34,7.1,0.43,56.51
19,33,6.97,0.4,45.31
20,33,7.01,0.4,48.66
17,34,6.98,0.38,43.5
14,32,6.97,0.3,31.38
25,35,7.09,0.44,59.25
7,29,6.87,0.13,2.97
8,30,6.88,0.14,4.04
18,34,6.99,0.37,44.51
5,31,6.81,0.09,4.27
17,32,7.03,0.36,43.33
15,34,7.02,0.33,37.19
9,31,6.92,0.16,5.89
8,30,6.87,0.14,4.67
22,35,7.04,0.44,53.12
29,33,6.99,0.45,62.59
10,31,6.88,0.22,7.23
7,31,6.84,0.13,3.26
12,30,6.92,0.24,19.19
28,34,7.07,0.46,62.53
22,33,7.06,0.43,52.71
21,32,7.02,0.41,50.26
2,29,6.72,0.01,5.84
4,30,6.81,0.04,6.13
18,34,6.99,0.36,45.32
18,34,7.0,0.36,44.76
22,34,7.04,0.43,52.7
20,32,7.0,0.38,48.73
7,30,6.88,0.12,4.73
6,30,6.85,0.09,3.89
16,34,7.01,0.33,40.05
16,34,7.0,0.35,39.74
24,34,7.1,0.42,56.96
30,29,6.9,0.44,61.35
19,33,6.99,0.4,47.58
24,36,7.12,0.43,56.81
22,34,7.05,0.43,52.31
14,33,6.99,0.29,31.07
15,32,7.01,0.33,36.04
10,30,6.89,0.23,7.65
26,34,7.14,0.44,60.88
29,32,7.02,0.47,61.41
12,30,6.97,0.25,18.46
4,29,6.8,0.08,5.64
2,28,6.73,0.02,5.11
3,30,6.79,0.06,6.24
2,29,6.73,0.02,6.19
8,30,6.85,0.15,4.99
5,31,6.8,0.08,5.57
7,30,6.86,0.11,4.13
4,31,6.81,0.06,5.87
12,30,6.96,0.25,18.72
19,34,7.0,0.39,46.61
12,32,6.96,0.25,18.5
7,29,6.83,0.12,4.39
20,34,7.0,0.41,48.24
0,26,6.66,0.0,0.0
13,33,7.0,0.29,25.26
13,33,6.95,0.29,24.58
23,33,7.08,0.43,55.57
1,27,6.71,0.0,0.0
4,31,6.78,0.06,6.64
14,32,7.04,0.31,30.59
5,29,6.82,0.08,5.22
4,31,6.78,0.04,5.61
28,33,7.05,0.45,61.95
29,33,7.01,0.45,61.92
17,34,7.0,0.37,42.97
24,36,7.06,0.43,56.12
4,30,6.78,0.07,6.06
6,31,6.85,0.1,4.37
23,34,7.04,0.45,55.15
1,28,6.71,0.0,0.0
15,32,7.02,0.32,36.4
6,30,6.82,0.11,4.65
0,25,6.7,0.0,0.0
19,34,6.97,0.39,46.38
23,34,7.09,0.42,54.48
1,29,6.7,0.01,2.94
14,33,6.99,0.32,31.1
21,32,7.0,0.41,50.03
6,30,6.87,0.11,3.47
25,36,7.14,0.44,59.19
13,31,6.97,0.27,25.53
25,35,7.09,0.44,58.39
8,30,6.86,0.16,4.53
18,32,6.99,0.36,45.49
24,36,7.1,0.42,57.21
29,32,6.98,0.46,62.59
11,31,6.92,0.23,13.48
21,32,7.02,0.41,50.66
22,33,7.01,0.41,52.11
2,29,6.79,0.01,5.36
24,35,7.08,0.42,56.81
16,34,7.0,0.33,40.17
20,33,6.99,0.4,48.17
8,29,6.84,0.17,3.74
15,33,7.01,0.32,36.82
9,31,6.89,0.17,4.84
8,30,6.83,0.17,3.9
30,30,6.91,0.44,59.79
7,31,6.87,0.13,3.54
20,32,6.99,0.38,48.68
5,30,6.8,0.07,5.74
17,33,7.02,0.36,43.88
1,29,6.68,0.01,3.47
22,35,7.05,0.44,52.06
9,30,6.88,0.16,5.73
16,32,7.02,0.34,40.66
3,31,6.77,0.04,6.73
21,33,7.06,0.41,50.77
11,30,6.92,0.23,14.15
13,32,6.97,0.29,25.36
26,36,7.07,0.43,60.45
22,35,7.07,0.42,52.33
13,32,6.99,0.3,25.67
2,29,6.75,0.01,5.27
27,35,7.11,0.45,62.28
26,35,7.1,0.44,61.8
7,31,6.85,0.12,4.31
17,33,6.98,0.35,43.65
11,30,6.89,0.24,12.43
7,29,6.88,0.13,3.16
19,33,6.99,0.39,46.56
8,31,6.88,0.14,4.16
1,27,6.74,0.0,0.0
19,33,6.98,0.39,46.87
27,33,7.09,0.46,61.99
2,30,6.74,0.03,4.97
2,29,6.74,0.02,6.02
17,34,7.02,0.37,43.18
1,28,6.72,0.0,0.0
17,32,6.96,0.37,43.5
30,30,6.89,0.46,60.71
1,28,6.71,0.01,2.97
5,30,6.79,0.09,4.94
5,29,6.8,0.07,5.34
8,29,6.87,0.15,4.39
20,33,7.02,0.4,48.82
28,33,7.07,0.44,62.06
9,31,6.89,0.17,6.12
20,32,6.95,0.4,48.03
25,35,7.09,0.44,59.39
25,36,7.07,0.44,58.66
26,34,7.09,0.43,61.22
17,34,6.98,0.37,43.34
14,34,6.99,0.3,31.88
13,31,6.97,0.28,24.61
0,25,6.67,0.0,0.0
8,31,6.85,0.16,4.14
5,30,6.77,0.09,5.15
14,34,6.97,0.3,31.66
19,33,7.01,0.38,45.99
21,34,7.05,0.4,50.94
22,33,7.02,0.42,51.73
4,30,6.78,0.06,6.01
3,30,6.77,0.03,6.34
4,29,6.74,0.07,5.23
22,33,7.02,0.42,52.16
13,32,6.98,0.28,24.57
24,35,7.1,0.43,56.65
17,32,6.96,0.36,42.48
21,33,6.98,0.41,50.5
9,30,6.87,0.18,5.34
28,34,7.09,0.47,62.22
0,25,6.69,0.0,0.0
22,34,7.06,0.42,53.04
23,34,7.09,0.44,54.42
11,30,6.92,0.25,13.01
20,34,7.0,0.39,48.49
9,31,6.89,0.15,4.39
11,29,6.95,0.22,13.24
20,33,7.0,0.42,49.14
4,30,6.77,0.07,5.83
25,34,7.1,0.46,59.1
17,34,7.02,0.36,43.8
6,31,6.76,0.08,4.03
14,32,7.04,0.29,30.93
24,34,7.07,0.42,56.72
20,32,6.99,0.42,47.76
12,32,6.98,0.23,19.13
9,29,6.86,0.18,5.01
23,34,7.06,0.42,54.4
5,29,6.8,0.09,4.4
26,35,7.14,0.46,60.58
5,31,6.81,0.06,4.76
29,31,7.0,0.46,62.27
22,35,7.0,0.42,51.55
13,31,6.98,0.28,25.35
5,31,6.82,0.06,4.42
21,32,7.03,0.41,49.69
24,34,7.1,0.44,56.98
5,29,6.8,0.06,4.9
20,33,7.0,0.41,47.81
6,29,6.84,0.11,3.59
16,32,7.0,0.35,40.25
26,35,7.09,0.43,60.87
1,28,6.71,0.01,3.2
1,29,6.73,0.01,3.54
22,34,7.03,0.42,51.68
13,32,6.98,0.28,25.75
16,33,7.0,0.36,40.75
28,32,7.09,0.44,62.66
1,27,6.72,0.01,3.45
4,30,6.75,0.06,5.0
0,25,6.7,0.0,0.0
25,36,7.13,0.47,59.28
2,29,6.78,0.01,4.62
20,32,7.0,0.39,48.24
2,29,6.7,0.02,4.75
3,31,6.73,0.05,5.57
21,34,7.03,0.42,51.53
9,29,6.84,0.17,6.36
13,33,6.97,0.28,24.22
6,29,6.82,0.1,3.72
8,30,6.87,0.17,3.59
20,32,7.0,0.38,47.49
25,36,7.09,0.44,58.76
9,31,6.87,0.16,5.22
28,32,7.07,0.46,62.76
14,32,7.0,0.3,31.83
5,31,6.82,0.08,5.34
20,34,7.01,0.38,47.82
15,34,7.03,0.3,36.23
2,30,6.73,0.03,5.62
30,28,6.86,0.45,61.06
13,32,7.0,0.28,24.89
1,29,6.71,0.0,0.0
26,35,7.09,0.43,60.5
9,30,6.89,0.18,4.82
27,34,7.12,0.44,62.37
27,33,7.09,0.46,62.28
15,32,7.0,0.32,35.98
5,30,6.79,0.07,5.29
30,29,6.85,0.46,60.92
9,29,6.89,0.18,5.66
30,30,6.9,0.46,60.13
13,33,6.97,0.28,25.25
20,34,6.96,0.38,48.21
4,31,6.78,0.07,6.45
8,30,6.87,0.17,4.49
20,32,7.0,0.4,48.54
25,34,7.08,0.45,59.58
12,31,6.95,0.25,18.8
3,30,6.77,0.03,5.82
24,35,7.08,0.42,56.27
16,34,6.98,0.34,39.84
7,30,6.87,0.14,4.49
8,30,6.86,0.15,4.55
13,31,6.98,0.3,24.58
8,30,6.88,0.14,4.44
4,31,6.77,0.07,6.11
4,30,6.78,0.07,5.7
10,30,6.87,0.18,8.13
11,29,6.94,0.24,12.83
28,32,7.07,0.46,62.15
16,32,7.0,0.35,40.13
25,36,7.1,0.44,59.5
15,32,7.03,0.31,36.67
6,31,6.8,0.1,4.24
28,34,7.04,0.45,62.41
4,30,6.76,0.06,6.97
27,33,7.07,0.46,61.96
21,32,6.99,0.4,50.48
25,36,7.15,0.45,59.28
4,29,6.78,0.05,6.65
14,33,7.01,0.29,30.08
17,34,6.96,0.35,43.33
4,31,6.78,0.05,5.2
30,28,6.9,0.44,60.31
6,29,6.8,0.09,4.15
5,30,6.78,0.09,4.96
22,33,7.04,0.43,52.56
5,29,6.78,0.08,4.9
28,33,7.06,0.45,62.53
9,30,6.85,0.17,5.45
19,32,7.0,0.39,46.7
26,35,7.09,0.43,60.29
11,31,6.93,0.23,13.03
7,29,6.81,0.14,3.65
10,30,6.91,0.2,7.95
0,25,6.69,0.01,0.0
12,30,6.92,0.26,18.18
17,32,6.99,0.38,43.69
18,34,6.97,0.36,45.64
20,34,6.99,0.41,48.27
3,30,6.73,0.02,6.37
7,30,6.86,0.11,3.86
7,30,6.85,0.13,3.85
23,35,7.08,0.44,54.89
12,30,6.94,0.25,18.43
8,31,6.86,0.15,3.71
29,33,7.01,0.46,60.54
5,30,6.85,0.08,4.88
23,34,7.06,0.43,54.79
23,35,7.04,0.43,54.75
14,33,6.96,0.28,31.72
20,33,7.02,0.4,47.89
30,30,6.91,0.46,60.31
13,31,6.94,0.27,25.27
22,33,7.04,0.42,52.85
8,30,6.89,0.15,3.91
16,33,6.99,0.32,39.82
22,34,7.03,0.43,52.64
25,34,7.09,0.44,59.47
27,35,7.06,0.46,60.86
19,32,6.98,0.38,45.81
21,32,7.04,0.41,49.42
9,31,6.89,0.18,5.65
15,33,7.03,0.33,36.45
30,29,6.88,0.45,60.64
23,34,7.05,0.44,54.49
11,30,6.93,0.23,13.67
25,34,7.12,0.45,59.17
24,35,7.1,0.42,57.17
23,33,7.07,0.43,53.83
18,34,7.02,0.36,45.33
16,34,7.01,0.34,40.79
0,26,6.69,0.0,0.0
25,35,7.09,0.44,59.31
17,34,6.99,0.36,43.09
13,33,6.99,0.29,24.94
0,27,6.7,0.0,0.0
11,29,6.95,0.24,13.61
1,29,6.73,0.01,3.06
13,31,6.94,0.28,24.67
11,31,6.93,0.24,13.32
17,34,6.99,0.36,42.87
7,29,6.8,0.12,3.98
26,35,7.07,0.45,60.36
28,33,7.09,0.44,62.4
9,30,6.88,0.17,5.68
26,35,7.09,0.44,60.73
9,29,6.88,0.19,5.93
20,33,7.02,0.4,48.38
13,33,6.98,0.29,25.74
5,30,6.81,0.08,4.58
7,29,6.83,0.14,3.74
16,34,6.99,0.35,41.22
21,32,7.01,0.42,50.83
8,29,6.86,0.12,4.48
17,33,7.03,0.36,42.85
25,34,7.11,0.43,59.11
2,29,6.75,0.02,5.62
16,32,6.99,0.33,40.25
3,31,6.76,0.04,6.53
12,31,6.94,0.25,19.63
29,32,6.98,0.45,62.28
6,31,6.85,0.09,4.92
3,29,6.74,0.05,5.7
5,31,6.81,0.07,4.18
2,29,6.77,0.0,0.0
25,34,7.1,0.43,59.29
10,30,6.92,0.22,9.29
2,29,6.76,0.03,5.96
18,33,6.99,0.38,44.84
4,30,6.76,0.07,5.32
2,29,6.74,0.01,4.71
3,29,6.76,0.03,5.91
17,34,7.01,0.37,43.29
8,31,6.86,0.14,4.0
6,29,6.84,0.1,4.46
14,34,7.0,0.3,30.22
27,33,7.08,0.44,61.86
3,30,6.7,0.04,5.57
28,34,7.05,0.45,62.27
13,33,6.96,0.29,25.55
10,30,6.89,0.21,8.33
20,32,7.0,0.4,48.93
24,35,7.13,0.42,57.12
27,33,7.1,0.46,61.6
29,31,7.01,0.45,62.0
14,32,6.97,0.31,31.17
24,34,7.09,0.43,56.34
11,30,6.93,0.24,14.5
28,34,7.08,0.46,63.34
13,31,6.96,0.28,25.36
7,30,6.87,0.13,4.26
19,33,7.0,0.4,46.61
25,36,7.1,0.44,59.0
24,34,7.07,0.44,56.4
4,31,6.77,0.05,5.89
5,30,6.77,0.08,4.9
26,34,7.11,0.45,60.45
17,34,6.97,0.36,43.23
13,32,6.99,0.28,24.92
16,33,7.04,0.33,40.83
19,34,6.99,0.39,46.97
23,35,7.07,0.43,54.31
4,31,6.78,0.04,6.0
25,36,7.09,0.45,59.33
11,30,6.92,0.24,11.78
29,31,7.0,0.45,60.86
0,26,6.68,0.0,0.0
22,35,7.04,0.41,52.36
4,30,6.78,0.06,5.01
21,32,7.01,0.41,49.62
20,34,7.0,0.39,48.47
0,25,6.71,0.01,0.44
30,29,6.9,0.44,60.63
25,36,7.1,0.44,59.91
23,34,7.07,0.44,55.84
20,32,7.02,0.4,47.42
29,31,6.99,0.44,61.38
26,34,7.09,0.43,60.34
2,29,6.72,0.01,5.58
14,33,6.97,0.31,30.93
24,35,7.11,0.43,57.11
2,28,6.73,0.0,0.0
3,29,6.75,0.03,6.47
2,28,6.74,0.01,5.95
30,28,6.92,0.44,60.04
14,33,7.01,0.3,30.44
0,26,6.69,0.0,0.0
18,33,6.96,0.36,45.2
0,26,6.7,0.01,0.0
16,32,7.02,0.36,40.6
10,31,6.9,0.2,8.65
6,30,6.83,0.11,4.42
25,35,7.14,0.43,59.33
28,33,7.04,0.47,61.81
22,35,7.02,0.4,52.07
11,29,6.89,0.23,13.05
13,31,6.96,0.26,25.5
21,32,7.0,0.41,50.76
0,27,6.7,0.0,0.0
22,34,7.07,0.42,51.54
19,33,7.0,0.39,47.74
16,34,6.99,0.34,40.54
28,34,7.05,0.46,62.84
10,30,6.93,0.19,8.44
30,30,6.87,0.43,59.82
16,32,7.0,0.34,41.38
22,34,7.06,0.43,52.31
30,29,6.89,0.44,60.35
21,32,7.01,0.41,50.55
12,31,6.98,0.26,19.2
23,34,7.06,0.41,54.69
29,32,6.98,0.44,62.35
3,29,6.75,0.03,6.32
26,34,7.14,0.44,61.66
20,32,7.03,0.39,48.74
1,27,6.68,0.0,0.0
30,29,6.91,0.44,61.34
22,35,7.0,0.43,52.46
9,29,6.89,0.18,5.17
5,29,6.76,0.09,5.44
7,29,6.82,0.13,4.1
11,29,6.95,0.23,13.07
24,34,7.1,0.42,57.58
19,32,6.97,0.39,47.01
12,32,6.92,0.27,18.23
5,31,6.85,0.08,5.32
15,33,7.01,0.33,36.17
24,35,7.09,0.43,56.36
19,33,7.02,0.39,46.54
12,32,6.93,0.25,18.71
14,32,6.97,0.29,31.55
25,35,7.08,0.44,59.85
16,33,6.98,0.35,40.78
16,33,6.97,0.35,40.32
11,30,6.91,0.23,13.47
7,31,6.82,0.12,3.64
6,31,6.84,0.1,4.32
4,30,6.8,0.06,5.46
14,33,7.05,0.29,30.83
23,35,7.02,0.42,54.43
19,32,6.96,0.38,46.03
26,36,7.1,0.44,60.62
28,34,7.01,0.43,62.85
28,34,7.06,0.45,61.84
22,33,7.04,0.44,51.98
24,35,7.12,0.44,57.36
1,27,6.7,0.01,3.44
20,34,7.01,0.38,47.99
8,30,6.86,0.14,5.05
23,33,7.08,0.43,55.05
20,32,6.99,0.41,47.92
17,33,7.04,0.37,43.51
15,33,6.97,0.3,36.08
3,29,6.77,0.04,6.15
17,33,6.98,0.37,42.47
9,31,6.89,0.17,5.61
22,35,7.04,0.43,52.06
24,34,7.09,0.44,56.94
13,33,6.97,0.28,25.09
11,31,6.95,0.24,12.99
3,29,6.79,0.03,4.98
9,30,6.91,0.16,5.7
4,30,6.77,0.05,4.98
13,31,6.98,0.29,26.03
5,30,6.78,0.06,5.79
0,25,6.7,0.0,0.0
0,27,6.73,0.01,0.0
4,31,6.78,0.06,5.59
10,30,6.91,0.18,7.79
20,34,7.0,0.39,48.72
24,35,7.08,0.44,57.02
2,29,6.75,0.02,5.73
3,31,6.72,0.03,5.67
17,33,6.99,0.37,43.39
27,34,7.11,0.45,61.96
14,34,7.0,0.31,31.92
2,29,6.74,0.02,5.04
5,30,6.81,0.07,4.31
20,33,6.99,0.4,47.51
15,33,7.02,0.34,37.48
7,30,6.87,0.15,3.9
2,29,6.75,0.03,5.49
15,34,7.03,0.32,36.57
0,27,6.7,0.0,0.0
25,35,7.1,0.43,58.99
17,33,6.98,0.35,42.29
4,29,6.8,0.08,5.35
28,34,7.05,0.45,62.35
27,35,7.08,0.46,62.2
21,33,7.01,0.41,50.2
2,30,6.75,0.02,4.95
6,30,6.8,0.08,4.09
5,30,6.78,0.07,5.23
12,30,6.94,0.24,18.8
10,30,6.91,0.2,8.24
24,36,7.07,0.43,57.07
13,31,6.99,0.26,24.36
4,29,6.77,0.07,6.15
3,29,6.76,0.05,6.97
24,34,7.08,0.43,56.76
29,33,7.0,0.46,61.21
26,34,7.11,0.42,60.7
14,32,7.01,0.32,31.41
20,34,6.98,0.4,48.8
11,29,6.91,0.22,13.78
1,28,6.74,0.01,4.36
9,31,6.85,0.17,5.82
23,33,7.08,0.42,54.06
13,33,6.95,0.29,24.67
17,33,7.03,0.36,43.31
9,29,6.87,0.18,5.83
7,29,6.83,0.12,4.46
28,33,7.06,0.46,62.33
6,29,6.84,0.11,3.3
15,34,7.0,0.3,35.99
2,30,6.74,0.02,5.13
25,36,7.12,0.46,59.53
7,31,6.85,0.13,3.21
16,32,6.98,0.35,40.42
29,32,6.99,0.45,62.04
8,31,6.83,0.15,4.21
7,30,6.85,0.12,2.77
25,36,7.1,0.42,58.96
7,29,6.84,0.13,3.97
17,33,7.02,0.36,42.31
9,30,6.88,0.16,5.6
21,32,7.04,0.41,50.09
19,33,7.0,0.37,47.35
9,31,6.88,0.18,5.97
12,31,7.0,0.23,18.68
16,33,7.0,0.36,40.31
26,36,7.08,0.43,60.49
13,32,6.96,0.26,25.1
16,33,7.01,0.35,40.2
27,35,7.11,0.47,61.47
24,35,7.08,0.44,57.53
4,31,6.77,0.06,6.54
27,34,7.1,0.46,61.48
11,31,6.89,0.22,13.16
12,31,6.96,0.25,19.18
2,28,6.76,0.03,6.03
3,29,6.78,0.05,6.26
7,31,6.84,0.13,4.25
21,33,7.0,0.4,50.28
20,32,7.02,0.39,48.23
30,29,6.94,0.44,61.69
19,33,7.02,0.4,46.94
19,33,7.03,0.37,47.52
16,34,6.99,0.34,40.43
24,34,7.06,0.44,57.75
16,33,7.04,0.32,40.06
2,29,6.7,0.01,5.9
3,29,6.76,0.06,6.33
22,35,7.03,0.43,50.98
12,30,6.95,0.25,18.38
15,34,7.05,0.31,36.91
29,32,6.99,0.46,62.38
7,30,6.89,0.13,4.28
22,35,7.08,0.42,51.88
29,32,6.97,0.46,61.97
19,34,6.98,0.39,46.49
2,30,6.74,0.01,5.67
4,29,6.79,0.07,5.74
30,29,6.91,0.46,60.42
22,33,7.05,0.41,53.7
10,30,6.89,0.2,8.0
14,32,6.95,0.3,31.63
18,34,7.01,0.38,44.31
18,34,7.01,0.37,44.53
27,34,7.08,0.45,61.4
2,30,6.76,0.0,0.0
27,33,7.08,0.45,61.75
25,36,7.1,0.43,59.13
27,34,7.09,0.43,60.91
22,34,7.07,0.42,53.57
2,28,6.73,0.03,5.27
18,32,7.0,0.36,44.58
13,33,6.97,0.28,25.61
12,32,6.96,0.25,18.37
6,31,6.79,0.08,4.57
4,30,6.77,0.05,6.28
4,31,6.79,0.06,6.45
29,31,6.97,0.45,61.96
18,33,7.01,0.36,45.61
25,35,7.09,0.43,58.82
1,28,6.73,0.02,2.81
9,31,6.83,0.19,5.43
27,33,7.11,0.46,61.54
9,31,6.89,0.18,5.68
18,32,7.01,0.38,44.85
29,33,6.99,0.44,61.09
29,33,7.0,0.45,61.08
18,33,7.02,0.37,44.4
14,34,7.0,0.3,30.22
20,32,6.99,0.41,47.91
28,33,7.05,0.44,62.47
1,28,6.72,0.01,3.64
12,32,6.93,0.26,20.35
5,29,6.76,0.1,4.27
30,30,6.93,0.46,60.86
17,34,6.99,0.34,43.92
24,36,7.09,0.42,56.46
23,33,7.07,0.43,55.46
12,30,6.97,0.25,19.03
16,32,6.96,0.34,40.11
5,30,6.77,0.09,4.78
29,32,6.98,0.47,61.06
8,30,6.86,0.14,4.25
19,34,7.0,0.39,46.82
22,34,7.04,0.42,52.58
8,30,6.88,0.16,3.93
28,32,7.06,0.45,63.0
26,36,7.1,0.46,60.34
6,31,6.83,0.1,3.96
8,30,6.85,0.15,5.42
23,33,7.06,0.43,54.67
26,36,7.09,0.44,60.99
19,32,7.01,0.39,47.24
10,30,6.95,0.19,9.25
16,32,6.98,0.33,40.96
6,30,6.82,0.11,4.23
29,33,6.98,0.46,62.0
8,29,6.84,0.14,4.44
9,30,6.89,0.17,4.59
0,27,6.67,0.03,0.0
11,29,6.92,0.23,13.15
30,29,6.88,0.45,60.43
5,30,6.8,0.09,4.55
5,30,6.8,0.1,5.73
30,29,6.89,0.45,60.44
25,34,7.1,0.46,59.11
12,31,6.97,0.25,19.03
9,31,6.85,0.15,5.13
29,32,6.98,0.45,63.29
20,32,6.99,0.39,48.78
20,32,7.02,0.39,48.42
29,32,6.97,0.47,61.64
26,36,7.11,0.43,60.89
11,31,6.89,0.22,12.6
30,29,6.89,0.45,59.96
29,32,6.99,0.44,61.8
7,30,6.86,0.15,4.38
19,34,6.98,0.4,46.32
13,31,6.99,0.28,24.94
27,35,7.13,0.43,61.87
15,33,7.01,0.31,35.74
5,30,6.75,0.07,5.31
1,29,6.72,0.0,0.0
22,33,7.05,0.41,52.59
4,29,6.8,0.06,5.19
24,34,7.09,0.43,57.36
7,29,6.84,0.12,3.82
6,30,6.85,0.11,4.02
15,32,7.0,0.33,36.76
28,33,7.04,0.45,61.6
25,35,7.11,0.45,58.51
22,34,7.02,0.41,52.86
0,25,6.69,0.02,0.0
20,33,6.99,0.4,47.81
10,31,6.94,0.21,9.42
17,32,7.01,0.36,43.52
3,31,6.8,0.03,5.42
25,34,7.09,0.46,58.26
30,29,6.9,0.44,60.35
30,29,6.91,0.46,60.17
20,34,6.98,0.41,48.74
5,29,6.83,0.09,4.53
7,29,6.84,0.14,4.02
20,33,6.99,0.38,48.43
16,33,7.0,0.32,40.5
29,32,7.0,0.45,61.58
2,30,6.74,0.03,5.36
26,35,7.06,0.44,60.18
8,31,6.82,0.15,4.66
0,26,6.7,0.0,0.0
